                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.80173,                0.63682,                0.97504,                0.76982,                0.91703,                0.86589,                 0.7534,                0.75028,                0.69414,                 0.9345,              0.0095347,              0.0095347,              0.0095347
                     50,                0.78321,                0.61155,                0.96556,                0.78058,                0.77435,                0.83325,                0.67384,                0.89579,                 1.1481,                 1.0456,              0.0095248,              0.0095248,              0.0095248
                     51,                0.78571,                0.63116,                0.97344,                0.80168,                0.79761,                 0.8418,                0.71527,                0.79116,                0.67986,                0.97747,              0.0095149,              0.0095149,              0.0095149
                     52,                0.81356,                0.60689,                0.98585,                0.67852,                 0.7701,                0.68534,                0.54786,                0.88604,                 1.3416,                 1.0487,               0.009505,               0.009505,               0.009505
                     53,                 0.7895,                 0.5949,                 0.9718,                0.78459,                0.83876,                0.86271,                0.73716,                0.78743,                 0.8833,                0.95704,              0.0094951,              0.0094951,              0.0094951
                     54,                0.75998,                0.58069,                0.96802,                0.83486,                0.87599,                 0.9002,                0.77594,                0.73786,                0.57395,                0.92933,              0.0094852,              0.0094852,              0.0094852
                     55,                0.78373,                0.60727,                 0.9756,                 0.8146,                0.91723,                0.89754,                0.78467,                0.74819,                 0.6084,                0.93943,              0.0094753,              0.0094753,              0.0094753
                     56,                0.75935,                0.60306,                0.94075,                0.68037,                0.25588,                0.32259,                0.19764,                 2.1469,                 4.8581,                 1.9071,              0.0094654,              0.0094654,              0.0094654
                     57,                0.77802,                0.58749,                0.96687,                0.69996,                0.89163,                0.79725,                0.66874,                0.77938,                0.87295,                 0.9424,              0.0094555,              0.0094555,              0.0094555
                     58,                0.75865,                0.61433,                0.96618,                0.56785,                0.54402,                0.52335,                0.36617,                 1.2047,                 2.7789,                 1.1861,              0.0094456,              0.0094456,              0.0094456
                     59,                0.76803,                0.60374,                0.96944,                0.76305,                0.81844,                0.80669,                0.68853,                0.77075,                 0.7738,                0.96632,              0.0094357,              0.0094357,              0.0094357
                     60,                0.76869,                0.58891,                0.96793,                0.79899,                 0.8763,                0.81866,                0.69784,                0.76025,                0.71871,                0.95412,              0.0094258,              0.0094258,              0.0094258
                     61,                0.76586,                0.57087,                0.94885,                0.65227,                0.83955,                0.71112,                0.59312,                0.81893,                0.95069,                0.98016,              0.0094159,              0.0094159,              0.0094159
                     62,                 0.7842,                 0.5862,                0.97198,                 0.5956,                0.36179,                0.42944,                0.27369,                 1.4109,                 3.7803,                 1.3991,               0.009406,               0.009406,               0.009406
                     63,                0.76361,                0.59989,                0.96026,                0.46118,                0.17176,                0.24204,                0.15007,                 1.5973,                  4.382,                 1.6612,              0.0093961,              0.0093961,              0.0093961
                     64,                 0.7645,                0.58613,                0.97427,                0.88854,                0.89235,                0.93365,                0.81192,                0.75374,                0.55257,                0.94291,              0.0093862,              0.0093862,              0.0093862
                     65,                0.76485,                0.56564,                0.96296,                0.86637,                0.85466,                0.88019,                0.76612,                0.73697,                 0.5638,                0.93715,              0.0093763,              0.0093763,              0.0093763
                     66,                0.78189,                 0.5941,                0.96849,                0.82641,                0.87218,                0.87509,                0.76148,                0.73883,                0.60598,                0.92609,              0.0093664,              0.0093664,              0.0093664
                     67,                0.77664,                0.62523,                0.96362,                0.77163,                 0.8927,                0.85415,                0.69191,                0.84597,                0.70424,                 1.0327,              0.0093565,              0.0093565,              0.0093565
                     68,                0.77163,                0.57034,                0.98003,                0.84768,                0.86256,                0.90356,                0.78538,                0.72534,                0.57712,                0.94258,              0.0093466,              0.0093466,              0.0093466
                     69,                0.75107,                0.58169,                0.94731,                0.80519,                0.91751,                0.90777,                0.79412,                0.74961,                0.55795,                 0.9511,              0.0093367,              0.0093367,              0.0093367
                     70,                0.75893,                0.57083,                0.96414,                 0.8869,                0.84824,                0.92003,                0.79695,                0.74834,                0.53808,                0.94602,              0.0093268,              0.0093268,              0.0093268
                     71,                0.76221,                0.57033,                0.96313,                0.81255,                0.87397,                 0.8754,                 0.7549,                0.75316,                0.63171,                0.94727,              0.0093169,              0.0093169,              0.0093169
                     72,                0.77152,                0.56423,                0.97217,                0.86506,                0.86192,                0.89816,                0.75275,                0.76619,                0.57095,                0.94686,               0.009307,               0.009307,               0.009307
                     73,                0.75956,                0.55233,                0.96414,                 0.7958,                0.86004,                0.87181,                0.72678,                0.85038,                0.76722,                0.99648,              0.0092971,              0.0092971,              0.0092971
                     74,                0.78314,                0.57866,                0.96695,                0.77521,                0.96478,                0.87282,                0.75892,                0.72228,                0.56481,                0.92539,              0.0092872,              0.0092872,              0.0092872
                     75,                0.75338,                0.60893,                0.96705,                0.68684,                 0.7077,                0.71879,                0.55572,                0.98473,                 1.6523,                 1.1292,              0.0092773,              0.0092773,              0.0092773
                     76,                0.77266,                0.54648,                0.96668,                0.75375,                 0.5077,                0.62852,                0.38761,                  1.197,                 1.9292,                 1.3047,              0.0092674,              0.0092674,              0.0092674
                     77,                0.74843,                0.55019,                0.95693,                0.78956,                0.80439,                0.79395,                0.64082,                0.84568,                0.77933,                 1.0087,              0.0092575,              0.0092575,              0.0092575
                     78,                0.75168,                0.55937,                0.95822,                 0.5848,                0.50579,                0.54337,                0.41307,                 1.0889,                 2.8637,                    1.2,              0.0092476,              0.0092476,              0.0092476
                     79,                0.76376,                0.57073,                0.95935,                0.73314,                0.81494,                0.79271,                0.67405,                0.79224,                0.94428,                0.96491,              0.0092377,              0.0092377,              0.0092377
                     80,                0.74289,                0.54494,                0.94238,                0.80803,                0.88041,                0.87473,                0.75765,                0.72804,                0.65182,                0.92742,              0.0092278,              0.0092278,              0.0092278
                     81,                0.74123,                0.53811,                0.96286,                0.69087,                0.68691,                0.71654,                0.57452,                0.88259,                 1.1549,                 1.0447,              0.0092179,              0.0092179,              0.0092179
                     82,                0.75442,                0.55801,                0.95785,                0.60538,                0.77716,                0.78482,                0.65708,                0.80307,                0.84357,                0.98281,               0.009208,               0.009208,               0.009208
                     83,                0.73814,                 0.5357,                0.95621,                0.84292,                0.85114,                 0.8981,                0.76253,                0.79997,                0.58608,                0.96583,              0.0091981,              0.0091981,              0.0091981
                     84,                0.76568,                 0.5477,                0.96482,                0.86938,                0.90836,                0.92893,                0.80408,                0.75156,                0.56508,                0.93936,              0.0091882,              0.0091882,              0.0091882
                     85,                0.76188,                 0.5392,                0.96102,                0.84664,                0.91242,                0.93687,                0.81737,                0.73383,                0.53511,                0.94467,              0.0091783,              0.0091783,              0.0091783
                     86,                 0.7611,                0.54688,                0.96362,                0.86802,                 0.9169,                0.93287,                0.81696,                0.73396,                0.51082,                0.93837,              0.0091684,              0.0091684,              0.0091684
                     87,                0.74712,                0.54313,                0.95172,                0.81473,                0.87177,                0.89306,                0.77523,                0.74599,                0.66572,                0.93357,              0.0091585,              0.0091585,              0.0091585
                     88,                0.73795,                0.54833,                0.95776,                0.00241,                0.02958,                0.00133,                 0.0003,                 4.2154,                 8.8839,                 5.2214,              0.0091486,              0.0091486,              0.0091486
                     89,                0.74501,                 0.5332,                0.95734,                0.36702,                0.04526,                0.00946,                0.00279,                 4.0625,                 8.7154,                 4.5122,              0.0091387,              0.0091387,              0.0091387
                     90,                0.74438,                0.52821,                0.95832,                0.81518,                0.83592,                0.87197,                0.75515,                 0.7391,                0.57519,                 0.9447,              0.0091288,              0.0091288,              0.0091288
                     91,                0.76897,                 0.5676,                0.96341,                0.84428,                0.87109,                0.84864,                 0.7438,                0.72409,                0.55749,                 0.9317,              0.0091189,              0.0091189,              0.0091189
                     92,                0.74041,                0.54219,                0.95054,                0.76902,                0.84839,                 0.8196,                0.68405,                0.83239,                0.97393,                0.98951,               0.009109,               0.009109,               0.009109
                     93,                0.75818,                0.58232,                0.97013,                0.54258,                0.54779,                0.48328,                0.36064,                 1.1143,                 2.7844,                 1.1631,              0.0090991,              0.0090991,              0.0090991
                     94,                0.74132,                0.52888,                0.96119,                0.80219,                0.85687,                0.81401,                0.70387,                0.76863,                0.70593,                0.96655,              0.0090892,              0.0090892,              0.0090892
                     95,                0.74228,                0.51915,                0.95923,                0.73902,                0.84065,                0.81905,                 0.7043,                0.77659,                 1.0184,                0.97905,              0.0090793,              0.0090793,              0.0090793
                     96,                0.73025,                0.57518,                0.95331,                0.84904,                0.87357,                0.88967,                 0.7786,                0.72847,                0.57191,                0.94486,              0.0090694,              0.0090694,              0.0090694
                     97,                0.74133,                0.51874,                0.95783,                0.82652,                0.87054,                0.85472,                0.74347,                0.75064,                0.67303,                  0.975,              0.0090595,              0.0090595,              0.0090595
                     98,                0.72254,                0.54418,                0.93354,                0.81772,                0.85257,                0.83192,                0.69725,                0.77513,                0.70795,                0.97324,              0.0090496,              0.0090496,              0.0090496
